1.1	100
1.2	100
1.2	100
1.3	100
1.4	100
1.5	100
1.6	100
1.7	100
1.8	200
1.9	200
1.10	900
1.10.1	900
1.10.2	900
1.10.3	900
1.10.4	900
1.10.5	900
1.11	900
1.11.1	900
1.11.2	900
1.11.3	900
1.11.4	900
1.11.5	900
1.11.6	900
1.12	200
1.12.1	200
1.12.2	200
1.12.3	200
1.12.4	200
1.12.5	200
1.12.6	200
1.12.7	200
1.12.8	200
1.12.9	200
1.13	200
1.13.1	200
1.13.2	200
1.13.3	200
1.13.4	200
1.14	900
1.14.1	900
1.14.2	900
1.14.3	900
1.14.4	900
1.14.5	900
1.14.6	900
1.14.7	900
1.14.8	900
1.14.9	900
1.14.10	900
1.15	300
1.16	400
1.17	500
1.18	600
1.19	700
1.20	800
1.21	200
1.21.1	200
2.1	100
2.2	100
2.3	100
2.4	100
2.5	100
2.6	100
2.7	100
3.1	900
3.1.1	900
3.1.2	900
3.1.3	900
3.1.4	900
3.1.5	900
3.2	900
3.2.1	900
3.2.2	900
3.2.3	900
3.2.4	900
3.2.5	900
3.2.6	900
3.2.7	900
3.2.8	900
3.2.9	900
3.2.10	900
3.3	900
3.4	900
4.1	300
4.2	400
4.3	500
4.4	600
5	700
5.1	700
6	800
6.1	800
01.01	100
01.02	100
01.03	100
01.04	100
01.05	100
01.06	100
01.07	100
01.08	100
01.09	100
01.10	100
01.11	100
01.12	100
01.13	100
01.14	100
01.15	100
01.16	100
01.17	100
01.18	100
01.19	100
02.01	200
02.02	200
02.03	200
02.04	200
02.05	200
02.06	200
02.07	200
02.08	200
02.09	200
02.10	200
02.11	200
02.12	200
03.01	200
03.02	200
03.03	200
03.04	200
03.05	200
03.06	200
03.07	200
03.08	200
03.09	200
03.10	200
03.11	200
03.12	200
03.13	200
03.14	200
03.15	200
03.16	200
03.17	200
03.18	200
03.19	200
03.20	200
04.01	300
04.02	300
04.03	300
04.04	300
04.05	300
04.06	300
04.07	300
04.08	300
04.09	300
04.10	300
04.11	300
05.00	300
05.01	300
05.02	300
06.01	400
06.02	400
06.03	400
06.04	400
06.05	400
07.01	500
07.02	500
07.03	500
07.04	500
07.05	500
07.06	500
07.07	500
07.08	500
07.09	500
08.01	600
08.02	600
08.03	600
08.04	600
08.05	600
09.01	700
09.02	700
09.03	700
09.04	700
09.05	700
10.01	800
10.02	800
10.03	800
10.04	800
10.05	800
10.06	800
10.07	800
10.08	800
10.09	800
10.10	800
10.11	800
10.12	800
10.13	800
10.14	800
10.15	800
10.16	800
11.01	900
11.02	900
11.03	900
11.04	900
11.05	900
11.06	900
11.07	900
11.08	900
12.01	900
12.02	900
12.03	900
12.04	900
12.05	900
12.06	900
12.07	900
12.08	900
12.09	900
12.10	900
12.11	900
12.12	900
12.13	900
13.01	900
13.02	900
13.03	900
13.04	900
13.05	900
13.06	900
14.01	900
14.02	900
14.03	900
14.04	900
14.05	900
14.06	900
15.01	900
15.02	900
15.03	900
15.04	900
15.05	900
15.06	900
15.07	900
15.08	900
15.09	900
15.10	900
15.11	900
16.00	100
17.00	900
18.00	900
19.00	900
